,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,filename,datetime,burst,burst_type,link,split,spectrogram_f,spectrogram_t
27,27,1054,1054,5286,FITfiles/2024-04-19/Beelink1_20240419_173000_59.fit,2024-04-19 17:30:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/ALASKA-ANCHORAGE_20240419_213000_01.fit.gz,valid,190.0,3600.0
28,28,1056,1056,5288,FITfiles/2024-04-19/Beelink1_20240419_180000_59.fit,2024-04-19 18:00:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/ALASKA-ANCHORAGE_20240419_220000_01.fit.gz,test,190.0,3600.0
29,29,1057,1057,5295,FITfiles/2024-04-19/Beelink1_20240419_181500_59.fit,2024-04-19 18:15:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/ALASKA-ANCHORAGE_20240419_221500_01.fit.gz,valid,190.0,3590.0
31,31,1088,1088,8345,FITfiles/2024-04-20/Beelink1_20240420_113000_59.fit,2024-04-20 11:30:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/20/ALASKA-ANCHORAGE_20240420_153000_01.fit.gz,test,190.0,3600.0
32,32,1091,1091,8341,FITfiles/2024-04-20/Beelink1_20240420_121500_59.fit,2024-04-20 12:15:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/20/ALASKA-ANCHORAGE_20240420_161500_01.fit.gz,valid,190.0,3590.0
33,33,1107,1107,8342,FITfiles/2024-04-20/Beelink1_20240420_161500_59.fit,2024-04-20 16:15:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/20/ALASKA-ANCHORAGE_20240420_201500_01.fit.gz,test,190.0,3590.0
35,35,1144,1144,2343,FITfiles/2024-04-21/Beelink1_20240421_110000_59.fit,2024-04-21 11:00:00,1,5,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/21/ALASKA-COHOE_20240421_150000_62.fit.gz,train,190.0,3600.0
36,36,1156,1156,2322,FITfiles/2024-04-21/Beelink1_20240421_140000_59.fit,2024-04-21 14:00:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/21/ALASKA-ANCHORAGE_20240421_180000_01.fit.gz,valid,190.0,3600.0
37,37,1171,1171,2314,FITfiles/2024-04-21/Beelink1_20240421_174500_59.fit,2024-04-21 17:45:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/21/ALASKA-ANCHORAGE_20240421_214500_01.fit.gz,test,190.0,3600.0
38,38,1205,1205,3372,FITfiles/2024-04-22/Beelink1_20240422_114500_59.fit,2024-04-22 11:45:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/22/ALASKA-ANCHORAGE_20240422_154500_01.fit.gz,test,190.0,3600.0
39,39,1227,1227,3368,FITfiles/2024-04-22/Beelink1_20240422_171500_59.fit,2024-04-22 17:15:00,1,2,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/22/ALASKA-ANCHORAGE_20240422_211500_01.fit.gz,test,190.0,3600.0
41,41,1265,1265,3800,FITfiles/2024-04-23/Beelink1_20240423_121500_59.fit,2024-04-23 12:15:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/23/ALASKA-ANCHORAGE_20240423_161500_01.fit.gz,train,190.0,3590.0
42,42,1270,1270,3794,FITfiles/2024-04-23/Beelink1_20240423_133000_59.fit,2024-04-23 13:30:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/23/ALASKA-ANCHORAGE_20240423_173000_01.fit.gz,test,190.0,3600.0
43,43,1271,1271,3787,FITfiles/2024-04-23/Beelink1_20240423_134500_59.fit,2024-04-23 13:45:00,1,2,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/23/ALASKA-ANCHORAGE_20240423_174500_01.fit.gz,train,190.0,3600.0
44,44,1274,1274,3784,FITfiles/2024-04-23/Beelink1_20240423_143000_59.fit,2024-04-23 14:30:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/23/ALASKA-ANCHORAGE_20240423_183000_01.fit.gz,test,190.0,3600.0
45,45,1324,1324,6020,FITfiles/2024-04-24/Beelink1_20240424_123000_59.fit,2024-04-24 12:30:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/24/ALASKA-ANCHORAGE_20240424_163000_01.fit.gz,test,190.0,3600.0
47,47,1384,1384,6283,FITfiles/2024-04-25/Beelink1_20240425_130000_59.fit,2024-04-25 13:00:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/25/ALASKA-ANCHORAGE_20240425_170000_01.fit.gz,train,190.0,3600.0
52,52,1860,1860,2280,FITfiles/2024-05-19/UMICH_20240519_111459_59.fit,2024-05-19 11:15:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/19/ALASKA-ANCHORAGE_20240519_151500_01.fit.gz,train,190.0,3600.0
53,53,1862,1862,2277,FITfiles/2024-05-19/UMICH_20240519_114459_59.fit,2024-05-19 11:45:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/19/ALASKA-ANCHORAGE_20240519_154500_01.fit.gz,test,190.0,3600.0
54,54,1868,1868,2276,FITfiles/2024-05-19/UMICH_20240519_131500_59.fit,2024-05-19 13:15:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/19/ALASKA-ANCHORAGE_20240519_171500_01.fit.gz,train,190.0,3600.0
55,55,1870,1870,2262,FITfiles/2024-05-19/UMICH_20240519_134500_59.fit,2024-05-19 13:45:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/19/ALASKA-ANCHORAGE_20240519_174500_01.fit.gz,test,190.0,3600.0
56,56,1913,1913,5130,FITfiles/2024-05-20/UMICH_20240520_100000_59.fit,2024-05-20 10:00:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/20/ALASKA-COHOE_20240520_140000_62.fit.gz,test,190.0,3600.0
57,57,1999,1999,3303,FITfiles/2024-05-21/UMICH_20240521_170000_59.fit,2024-05-21 17:00:00,1,6,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/21/ALASKA-ANCHORAGE_20240521_210000_01.fit.gz,test,190.0,3600.0
62,62,2334,2334,3864,FITfiles/2024-05-27/UMICH_20240527_134500_59.fit,2024-05-27 13:45:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/27/ALASKA-ANCHORAGE_20240527_174500_01.fit.gz,train,190.0,3600.0
63,63,2439,2439,4099,FITfiles/2024-05-29/UMICH_20240529_104500_59.fit,2024-05-29 10:45:00,1,2,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/29/ALASKA-COHOE_20240529_144500_62.fit.gz,valid,190.0,3600.0
64,64,2732,2732,2011,FITfiles/2024-06-03/UMICH_20240603_123000_59.fit,2024-06-03 12:30:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/03/ALASKA-ANCHORAGE_20240603_163000_01.fit.gz,test,190.0,3600.0
65,65,2956,2956,7270,FITfiles/2024-06-07/UMICH_20240607_102959_59.fit,2024-06-07 10:30:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/07/ALASKA-COHOE_20240607_143000_62.fit.gz,test,190.0,3600.0
66,66,3195,3195,2687,FITfiles/2024-06-11/UMICH_20240611_123000_59.fit,2024-06-11 12:30:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/11/ALASKA-ANCHORAGE_20240611_163000_01.fit.gz,test,190.0,3600.0
67,67,3722,3722,3424,FITfiles/2024-06-20/UMICH_20240620_133000_59.fit,2024-06-20 13:30:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/20/ALASKA-ANCHORAGE_20240620_173000_01.fit.gz,test,190.0,3600.0
68,68,3767,3767,2218,FITfiles/2024-06-21/UMICH_20240621_101500_59.fit,2024-06-21 10:15:00,1,7,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/21/ALASKA-COHOE_20240621_141500_62.fit.gz,test,190.0,3600.0
69,69,3804,3804,2131,FITfiles/2024-06-21/UMICH_20240621_193000_59.fit,2024-06-21 19:30:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/21/ALASKA-ANCHORAGE_20240621_233000_01.fit.gz,test,190.0,3600.0
70,70,3805,3805,2125,FITfiles/2024-06-21/UMICH_20240621_194500_59.fit,2024-06-21 19:45:00,1,2,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/21/ALASKA-ANCHORAGE_20240621_234500_01.fit.gz,test,190.0,3600.0
71,71,3950,3950,4024,FITfiles/2024-06-24/UMICH_20240624_123000_59.fit,2024-06-24 12:30:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/24/ALASKA-ANCHORAGE_20240624_163000_01.fit.gz,train,190.0,3600.0
72,72,4009,4009,4624,FITfiles/2024-06-25/UMICH_20240625_124500_59.fit,2024-06-25 12:45:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/25/ALASKA-ANCHORAGE_20240625_164500_01.fit.gz,test,190.0,3600.0
73,73,4031,4031,4600,FITfiles/2024-06-25/UMICH_20240625_181500_59.fit,2024-06-25 18:15:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/25/ALASKA-ANCHORAGE_20240625_221500_01.fit.gz,test,190.0,3592.0
74,74,4096,4096,2771,FITfiles/2024-06-26/UMICH_20240626_200000_59.fit,2024-06-26 20:00:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/27/ALASKA-ANCHORAGE_20240627_000000_01.fit.gz,train,190.0,3600.0
76,76,4137,4137,7584,FITfiles/2024-06-27/UMICH_20240627_154500_59.fit,2024-06-27 15:45:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/27/ALASKA-ANCHORAGE_20240627_194500_01.fit.gz,test,190.0,3600.0
77,77,4142,4142,7581,FITfiles/2024-06-27/UMICH_20240627_170000_59.fit,2024-06-27 17:00:00,1,3,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/27/ALASKA-ANCHORAGE_20240627_210000_01.fit.gz,test,190.0,3600.0
78,78,4152,4152,7809,FITfiles/2024-06-27/UMICH_20240627_193000_59.fit,2024-06-27 19:30:00,1,5,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/27/ALASKA-ANCHORAGE_20240627_233000_01.fit.gz,test,190.0,3600.0
79,79,4153,4153,7808,FITfiles/2024-06-27/UMICH_20240627_194500_59.fit,2024-06-27 19:45:00,1,5,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/27/ALASKA-ANCHORAGE_20240627_234500_01.fit.gz,test,190.0,3600.0
81,81,4305,4305,2499,FITfiles/2024-07-01/UMICH_20240701_093000_59.fit,2024-07-01 09:30:00,1,5,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/07/01/ALASKA-ANCHORAGE_20240701_133000_01.fit.gz,test,190.0,3600.0
82,82,7384,7384,1687,FITfiles/2024-09-19/UMICH_20240919_161500_59.fit,2024-09-19 16:15:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/09/19/ALASKA-ANCHORAGE_20240919_201500_01.fit.gz,train,190.0,3592.0
84,84,6137,6137,5788,FITfiles/2024-08-07/Beelink1_20240807_150000_59.fit,2024-08-07 15:00:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/08/07/ALASKA-HAARP_20240807_190000_63.fit.gz,test,190.0,3600.0
85,85,5075,5075,7616,FITfiles/2024-07-20/Beelink1_20240720_121459_59.fit,2024-07-20 12:15:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/07/20/ALASKA-ANCHORAGE_20240720_161500_01.fit.gz,valid,190.0,3595.0
86,86,8352,8352,1179,FITfiles/2024-10-06/UMICH_20241006_163000_59.fit,2024-10-06 16:30:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/10/06/ALASKA-ANCHORAGE_20241006_203000_01.fit.gz,test,190.0,3600.0
87,87,4894,4894,5915,FITfiles/2024-07-17/Beelink1_20240717_103000_59.fit,2024-07-17 10:30:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/07/17/ALASKA-ANCHORAGE_20240717_143000_01.fit.gz,train,190.0,3600.0
88,88,9128,9128,571,FITfiles/2024-11-02/Beelink1_20241102_163000_59.fit,2024-11-02 16:30:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/11/02/ALASKA-ANCHORAGE_20241102_203000_01.fit.gz,test,190.0,3600.0
90,90,7546,7546,207,FITfiles/2024-09-22/UMICH_20240922_130000_59.fit,2024-09-22 13:00:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/09/22/ALASKA-ANCHORAGE_20240922_170000_01.fit.gz,train,190.0,3525.0
91,91,2947,2947,7242,FITfiles/2024-06-07/UMICH_20240607_081500_59.fit,2024-06-07 08:15:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/07/ALASKA-HAARP_20240607_121500_62.fit.gz,test,190.0,3593.0
92,92,1698,1698,6776,FITfiles/2024-04-30/Beelink1_20240430_190000_59.fit,2024-04-30 19:00:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/30/ALASKA-ANCHORAGE_20240430_230000_01.fit.gz,test,190.0,3600.0
93,93,3515,3515,5432,FITfiles/2024-06-16/UMICH_20240616_200000_59.fit,2024-06-16 20:00:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/17/ALASKA-ANCHORAGE_20240617_000000_01.fit.gz,test,190.0,3600.0
94,94,2287,2287,7923,FITfiles/2024-05-26/UMICH_20240526_163000_59.fit,2024-05-26 16:30:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/26/ALASKA-ANCHORAGE_20240526_203000_01.fit.gz,test,190.0,3600.0
95,95,5426,5426,8685,FITfiles/2024-07-26/Beelink1_20240726_111459_59.fit,2024-07-26 11:15:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/07/26/ALASKA-ANCHORAGE_20240726_151500_01.fit.gz,valid,190.0,3600.0
96,96,120,120,3707,FITfiles/2024-03-10/Beelink1_20240310_193000_59.fit,2024-03-10 19:30:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/03/10/ALASKA-ANCHORAGE_20240310_233000_01.fit.gz,test,190.0,3600.0
97,97,520,520,3014,FITfiles/2024-04-07/Beelink1_20240407_194500_59.fit,2024-04-07 19:45:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/07/ALASKA-COHOE_20240407_234500_63.fit.gz,test,190.0,3600.0
98,98,2227,2227,3175,FITfiles/2024-05-25/UMICH_20240525_160000_59.fit,2024-05-25 16:00:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/25/ALASKA-ANCHORAGE_20240525_200000_01.fit.gz,test,190.0,3600.0
99,99,5802,5802,8201,FITfiles/2024-08-01/Beelink1_20240801_181500_59.fit,2024-08-01 18:15:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/08/01/ALASKA-ANCHORAGE_20240801_221500_01.fit.gz,test,190.0,3591.0
100,100,5414,5414,8710,FITfiles/2024-07-26/Beelink1_20240726_081500_59.fit,2024-07-26 08:15:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/07/26/ALASKA-HAARP_20240726_121500_62.fit.gz,test,190.0,3593.0
101,101,1356,1356,5963,FITfiles/2024-04-24/Beelink1_20240424_203000_59.fit,2024-04-24 20:30:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/25/ALASKA-ANCHORAGE_20240425_003000_01.fit.gz,test,190.0,3600.0
102,102,6319,6319,9150,FITfiles/2024-08-10/Beelink1_20240810_170000_59.fit,2024-08-10 17:00:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/08/10/ALASKA-HAARP_20240810_210000_63.fit.gz,train,190.0,3600.0
103,103,8534,8534,853,FITfiles/2024-10-23/Beelink1_20241023_130000_59.fit,2024-10-23 13:00:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/10/23/ALASKA-ANCHORAGE_20241023_170000_01.fit.gz,train,190.0,3600.0
104,104,5744,5744,2718,FITfiles/2024-07-31/Beelink1_20240731_181500_59.fit,2024-07-31 18:15:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/07/31/ALASKA-ANCHORAGE_20240731_221500_01.fit.gz,train,190.0,3592.0
105,105,5097,5097,7600,FITfiles/2024-07-20/Beelink1_20240720_174500_59.fit,2024-07-20 17:45:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/07/20/ALASKA-ANCHORAGE_20240720_214500_01.fit.gz,train,190.0,3600.0
106,106,565,565,6214,FITfiles/2024-04-08/Beelink1_20240408_163000_59.fit,2024-04-08 16:30:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/08/ALASKA-ANCHORAGE_20240408_203000_01.fit.gz,train,190.0,3600.0
107,107,4638,4638,5713,FITfiles/2024-07-06/Beelink1_20240706_194500_59.fit,2024-07-06 19:45:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/07/06/ALASKA-ANCHORAGE_20240706_234500_01.fit.gz,test,190.0,3600.0
108,108,2219,2219,3223,FITfiles/2024-05-25/UMICH_20240525_140000_59.fit,2024-05-25 14:00:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/25/ALASKA-ANCHORAGE_20240525_180000_01.fit.gz,train,190.0,3600.0
109,109,1606,1606,5939,FITfiles/2024-04-29/Beelink1_20240429_103000_59.fit,2024-04-29 10:30:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/29/ALASKA-HAARP_20240429_143000_62.fit.gz,train,190.0,3600.0
110,110,4408,4408,8142,FITfiles/2024-07-02/Beelink1_20240702_201500_59.fit,2024-07-02 20:15:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/07/03/ALASKA-ANCHORAGE_20240703_001500_01.fit.gz,test,190.0,3593.0
111,111,9202,9202,898,FITfiles/2024-11-03/Beelink1_20241103_203000_59.fit,2024-11-03 20:30:00,0,0,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/11/04/ALASKA-ANCHORAGE_20241104_013000_01.fit.gz,valid,190.0,3600.0
