,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,filename,datetime,burst,burst_type,initial_mse,link,split,spectrogram_f,spectrogram_t
12,12,1023,5329,FITfiles/2024-04-19/Beelink1_20240419_094500_59.fit,2024-04-19 09:45:00,1,6,22447.5390625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/MEXICO-LANCE-B_20240419_134500_62.fit.gz,valid,190.0,3600.0
13,13,1024,5312,FITfiles/2024-04-19/Beelink1_20240419_100000_59.fit,2024-04-19 10:00:00,1,6,22426.376953125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/MEXICO-LANCE-B_20240419_140000_62.fit.gz,valid,190.0,3600.0
14,14,1026,5331,FITfiles/2024-04-19/Beelink1_20240419_103000_59.fit,2024-04-19 10:30:00,1,6,22414.919921875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/USA-BOSTON_20240419_143000_63.fit.gz,train,190.0,3600.0
15,15,1027,5323,FITfiles/2024-04-19/Beelink1_20240419_104500_59.fit,2024-04-19 10:45:00,1,6,22423.732421875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/USA-BOSTON_20240419_144500_63.fit.gz,train,190.0,3600.0
16,16,1028,5317,FITfiles/2024-04-19/Beelink1_20240419_110000_59.fit,2024-04-19 11:00:00,1,6,22428.84375,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/USA-BOSTON_20240419_150000_63.fit.gz,valid,190.0,3600.0
17,17,1034,5308,FITfiles/2024-04-19/Beelink1_20240419_123000_59.fit,2024-04-19 12:30:00,1,7,22453.57421875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/USA-BOSTON_20240419_163000_63.fit.gz,train,190.0,3600.0
18,18,1037,5305,FITfiles/2024-04-19/Beelink1_20240419_131500_59.fit,2024-04-19 13:15:00,1,6,22388.98828125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/MEXICO-LANCE-B_20240419_171500_62.fit.gz,test,190.0,3600.0
19,19,1039,5314,FITfiles/2024-04-19/Beelink1_20240419_134500_59.fit,2024-04-19 13:45:00,1,6,22376.0625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/MEXICO-LANCE-B_20240419_174500_62.fit.gz,train,190.0,3600.0
20,20,1040,5303,FITfiles/2024-04-19/Beelink1_20240419_140000_59.fit,2024-04-19 14:00:00,1,6,22387.23828125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/MEXICO-LANCE-B_20240419_180000_62.fit.gz,train,190.0,3600.0
21,21,1042,5302,FITfiles/2024-04-19/Beelink1_20240419_143332_59.fit,2024-04-19 14:33:32,1,6,22173.111328125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/MEXICO-LANCE-B_20240419_183000_62.fit.gz,train,190.0,3600.0
22,22,1043,5304,FITfiles/2024-04-19/Beelink1_20240419_144832_59.fit,2024-04-19 14:48:32,1,6,22128.12109375,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/MEXICO-LANCE-B_20240419_184500_62.fit.gz,test,190.0,3600.0
23,23,1044,5297,FITfiles/2024-04-19/Beelink1_20240419_150332_59.fit,2024-04-19 15:03:32,1,3,22064.6171875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/MEXICO-LANCE-B_20240419_190000_62.fit.gz,train,190.0,3600.0
24,24,1045,5293,FITfiles/2024-04-19/Beelink1_20240419_151831_59.fit,2024-04-19 15:18:31,1,6,22044.380859375,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/MEXICO-LANCE-B_20240419_191500_62.fit.gz,valid,190.0,3600.0
25,25,1051,5289,FITfiles/2024-04-19/Beelink1_20240419_164500_59.fit,2024-04-19 16:45:00,1,6,22034.91015625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/USA-BOSTON_20240419_204500_63.fit.gz,train,190.0,3600.0
26,26,1053,5291,FITfiles/2024-04-19/Beelink1_20240419_171500_59.fit,2024-04-19 17:15:00,1,6,22201.109375,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/USA-BOSTON_20240419_211500_63.fit.gz,test,190.0,3600.0
27,27,1054,5286,FITfiles/2024-04-19/Beelink1_20240419_173000_59.fit,2024-04-19 17:30:00,1,6,22320.4609375,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/USA-BOSTON_20240419_213000_63.fit.gz,valid,190.0,3600.0
28,28,1056,5288,FITfiles/2024-04-19/Beelink1_20240419_180000_59.fit,2024-04-19 18:00:00,1,6,22358.681640625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/USA-BOSTON_20240419_220000_63.fit.gz,train,190.0,3600.0
29,29,1057,5295,FITfiles/2024-04-19/Beelink1_20240419_181500_59.fit,2024-04-19 18:15:00,1,6,22420.53125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/19/USA-BOSTON_20240419_221500_63.fit.gz,test,190.0,3590.0
30,30,1073,8359,FITfiles/2024-04-20/Beelink1_20240420_074500_59.fit,2024-04-20 07:45:00,1,3,22582.42578125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/20/USA-BOSTON_20240420_114500_63.fit.gz,test,190.0,3600.0
31,31,1088,8345,FITfiles/2024-04-20/Beelink1_20240420_113000_59.fit,2024-04-20 11:30:00,1,3,22507.71484375,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/20/USA-BOSTON_20240420_153000_63.fit.gz,test,190.0,3600.0
32,32,1091,8341,FITfiles/2024-04-20/Beelink1_20240420_121500_59.fit,2024-04-20 12:15:00,1,6,22517.5859375,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/20/USA-BOSTON_20240420_161500_63.fit.gz,train,190.0,3590.0
33,33,1107,8342,FITfiles/2024-04-20/Beelink1_20240420_161500_59.fit,2024-04-20 16:15:00,1,6,22489.69140625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/20/MEXICO-LANCE-B_20240420_201500_62.fit.gz,valid,190.0,3590.0
34,34,1127,2358,FITfiles/2024-04-21/Beelink1_20240421_064500_59.fit,2024-04-21 06:45:00,1,3,22564.703125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/21/USA-BOSTON_20240421_104500_63.fit.gz,valid,190.0,3600.0
35,35,1144,2343,FITfiles/2024-04-21/Beelink1_20240421_110000_59.fit,2024-04-21 11:00:00,1,5,22485.705078125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/21/USA-BOSTON_20240421_150000_63.fit.gz,train,190.0,3600.0
36,36,1156,2322,FITfiles/2024-04-21/Beelink1_20240421_140000_59.fit,2024-04-21 14:00:00,1,3,22344.53125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/21/USA-BOSTON_20240421_180000_63.fit.gz,test,190.0,3600.0
37,37,1171,2314,FITfiles/2024-04-21/Beelink1_20240421_174500_59.fit,2024-04-21 17:45:00,1,6,22412.421875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/21/USA-BOSTON_20240421_214500_63.fit.gz,train,190.0,3600.0
38,38,1205,3372,FITfiles/2024-04-22/Beelink1_20240422_114500_59.fit,2024-04-22 11:45:00,1,3,22313.9609375,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/22/USA-BOSTON_20240422_154500_63.fit.gz,train,190.0,3600.0
39,39,1227,3368,FITfiles/2024-04-22/Beelink1_20240422_171500_59.fit,2024-04-22 17:15:00,1,2,21939.89453125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/22/USA-BOSTON_20240422_211500_63.fit.gz,train,190.0,3600.0
40,40,1250,3821,FITfiles/2024-04-23/Beelink1_20240423_083000_59.fit,2024-04-23 08:30:00,1,3,22352.134765625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/23/MEXICO-LANCE-B_20240423_123000_62.fit.gz,train,190.0,3600.0
41,41,1265,3800,FITfiles/2024-04-23/Beelink1_20240423_121500_59.fit,2024-04-23 12:15:00,1,3,22306.6796875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/23/USA-BOSTON_20240423_161500_63.fit.gz,train,190.0,3590.0
42,42,1270,3794,FITfiles/2024-04-23/Beelink1_20240423_133000_59.fit,2024-04-23 13:30:00,1,3,22326.30078125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/23/USA-BOSTON_20240423_173000_63.fit.gz,test,190.0,3600.0
43,43,1271,3787,FITfiles/2024-04-23/Beelink1_20240423_134500_59.fit,2024-04-23 13:45:00,1,2,22383.08203125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/23/USA-BOSTON_20240423_174500_63.fit.gz,test,190.0,3600.0
44,44,1274,3784,FITfiles/2024-04-23/Beelink1_20240423_143000_59.fit,2024-04-23 14:30:00,1,3,22304.984375,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/23/MEXICO-LANCE-B_20240423_183000_62.fit.gz,train,190.0,3600.0
45,45,1324,6020,FITfiles/2024-04-24/Beelink1_20240424_123000_59.fit,2024-04-24 12:30:00,1,3,22424.328125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/24/USA-BOSTON_20240424_163000_63.fit.gz,train,190.0,3600.0
46,46,1368,6305,FITfiles/2024-04-25/Beelink1_20240425_090000_59.fit,2024-04-25 09:00:00,1,5,22623.4765625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/25/MEXICO-LANCE-B_20240425_130000_62.fit.gz,train,190.0,3600.0
47,47,1384,6283,FITfiles/2024-04-25/Beelink1_20240425_130000_59.fit,2024-04-25 13:00:00,1,3,22299.91796875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/25/USA-BOSTON_20240425_170000_63.fit.gz,train,190.0,3600.0
48,48,1847,2289,FITfiles/2024-05-19/UMICH_20240519_080000_59.fit,2024-05-19 08:00:00,1,6,11266.83203125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/19/MEXICO-LANCE-B_20240519_120000_62.fit.gz,train,190.0,3600.0
49,49,1849,2281,FITfiles/2024-05-19/UMICH_20240519_083000_59.fit,2024-05-19 08:30:00,1,6,11192.935546875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/19/USA-BOSTON_20240519_123000_63.fit.gz,train,190.0,3600.0
50,50,1852,2290,FITfiles/2024-05-19/UMICH_20240519_091500_59.fit,2024-05-19 09:15:00,1,3,11290.3310546875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/19/USA-BOSTON_20240519_131500_63.fit.gz,train,190.0,3600.0
51,51,1853,2295,FITfiles/2024-05-19/UMICH_20240519_093000_59.fit,2024-05-19 09:30:00,1,6,11162.087890625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/19/USA-BOSTON_20240519_133000_63.fit.gz,train,190.0,3600.0
52,52,1860,2280,FITfiles/2024-05-19/UMICH_20240519_111459_59.fit,2024-05-19 11:14:59,1,3,10745.416015625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/19/MEXICO-LANCE-B_20240519_151500_62.fit.gz,train,190.0,3600.0
53,53,1862,2277,FITfiles/2024-05-19/UMICH_20240519_114459_59.fit,2024-05-19 11:44:59,1,3,10758.17578125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/19/MEXICO-LANCE-B_20240519_154500_62.fit.gz,valid,190.0,3600.0
54,54,1868,2276,FITfiles/2024-05-19/UMICH_20240519_131500_59.fit,2024-05-19 13:15:00,1,3,10445.4853515625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/19/MEXICO-LANCE-B_20240519_171500_62.fit.gz,train,190.0,3600.0
55,55,1870,2262,FITfiles/2024-05-19/UMICH_20240519_134500_59.fit,2024-05-19 13:45:00,1,3,10574.298828125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/19/MEXICO-LANCE-A_20240519_174500_63.fit.gz,test,190.0,3600.0
56,56,1913,5130,FITfiles/2024-05-20/UMICH_20240520_100000_59.fit,2024-05-20 10:00:00,1,3,11001.0458984375,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/20/MEXICO-LANCE-B_20240520_140000_62.fit.gz,train,190.0,3600.0
57,57,1999,3303,FITfiles/2024-05-21/UMICH_20240521_170000_59.fit,2024-05-21 17:00:00,1,6,10445.8203125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/21/USA-BOSTON_20240521_210000_63.fit.gz,train,190.0,3600.0
58,58,2024,4687,FITfiles/2024-05-22/UMICH_20240522_084500_59.fit,2024-05-22 08:45:00,1,6,10779.4462890625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/22/MEXICO-LANCE-B_20240522_124500_62.fit.gz,train,190.0,3600.0
59,59,2082,1833,FITfiles/2024-05-23/UMICH_20240523_084500_59.fit,2024-05-23 08:45:00,1,6,11012.6298828125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/23/MEXICO-LANCE-B_20240523_124500_62.fit.gz,test,190.0,3600.0
60,60,2083,1829,FITfiles/2024-05-23/UMICH_20240523_090000_59.fit,2024-05-23 09:00:00,1,6,10895.4921875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/23/MEXICO-LANCE-B_20240523_130000_62.fit.gz,train,190.0,3600.0
61,61,2140,6187,FITfiles/2024-05-24/UMICH_20240524_084500_59.fit,2024-05-24 08:45:00,1,5,10994.9619140625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/24/MEXICO-LANCE-B_20240524_124500_62.fit.gz,train,190.0,3600.0
62,62,2334,3864,FITfiles/2024-05-27/UMICH_20240527_134500_59.fit,2024-05-27 13:45:00,1,3,10926.19140625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/27/USA-BOSTON_20240527_174500_01.fit.gz,train,190.0,3600.0
63,63,2439,4099,FITfiles/2024-05-29/UMICH_20240529_104500_59.fit,2024-05-29 10:45:00,1,2,10857.009765625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/05/29/MEXART_20240529_144500_59.fit.gz,train,190.0,3600.0
64,64,2732,2011,FITfiles/2024-06-03/UMICH_20240603_123000_59.fit,2024-06-03 12:30:00,1,3,10709.482421875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/03/USA-BOSTON_20240603_163000_63.fit.gz,test,190.0,3600.0
65,65,2956,7270,FITfiles/2024-06-07/UMICH_20240607_102959_59.fit,2024-06-07 10:29:59,1,3,10785.126953125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/07/MEXICO-LANCE-B_20240607_142959_62.fit.gz,train,190.0,3600.0
66,66,3195,2687,FITfiles/2024-06-11/UMICH_20240611_123000_59.fit,2024-06-11 12:30:00,1,3,10728.2900390625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/11/USA-BOSTON_20240611_163000_01.fit.gz,valid,190.0,3600.0
67,67,3722,3424,FITfiles/2024-06-20/UMICH_20240620_133000_59.fit,2024-06-20 13:30:00,1,3,10332.931640625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/20/MEXART_20240620_173000_59.fit.gz,train,190.0,3600.0
68,68,3767,2218,FITfiles/2024-06-21/UMICH_20240621_101500_59.fit,2024-06-21 10:15:00,1,7,11115.515625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/21/MEXICO-LANCE-A_20240621_141500_63.fit.gz,test,190.0,3600.0
69,69,3804,2131,FITfiles/2024-06-21/UMICH_20240621_193000_59.fit,2024-06-21 19:30:00,1,3,10597.5908203125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/21/MEXART_20240621_233000_59.fit.gz,train,190.0,3600.0
70,70,3805,2125,FITfiles/2024-06-21/UMICH_20240621_194500_59.fit,2024-06-21 19:45:00,1,2,10646.3974609375,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/21/ALASKA-HAARP_20240621_234500_63.fit.gz,train,190.0,3600.0
71,71,3950,4024,FITfiles/2024-06-24/UMICH_20240624_123000_59.fit,2024-06-24 12:30:00,1,3,10572.1064453125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/24/ALASKA-HAARP_20240624_163000_63.fit.gz,train,190.0,3600.0
72,72,4009,4624,FITfiles/2024-06-25/UMICH_20240625_124500_59.fit,2024-06-25 12:45:00,1,3,10747.0986328125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/25/MEXART_20240625_164500_59.fit.gz,train,190.0,3600.0
73,73,4031,4600,FITfiles/2024-06-25/UMICH_20240625_181500_59.fit,2024-06-25 18:15:00,1,3,10575.197265625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/25/MEXART_20240625_221500_59.fit.gz,train,190.0,3592.0
74,74,4096,2771,FITfiles/2024-06-26/UMICH_20240626_200000_59.fit,2024-06-26 20:00:00,1,3,10795.5751953125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/27/MEXART_20240627_000000_59.fit.gz,train,190.0,3600.0
75,75,4104,7853,FITfiles/2024-06-27/UMICH_20240627_073000_59.fit,2024-06-27 07:30:00,1,3,10860.466796875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/27/USA-BOSTON_20240627_113000_01.fit.gz,train,190.0,3600.0
76,76,4137,7584,FITfiles/2024-06-27/UMICH_20240627_154500_59.fit,2024-06-27 15:45:00,1,3,10329.017578125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/27/MEXICO-LANCE-B_20240627_194500_62.fit.gz,train,190.0,3600.0
77,77,4142,7581,FITfiles/2024-06-27/UMICH_20240627_170000_59.fit,2024-06-27 17:00:00,1,3,10286.8603515625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/27/MEXICO-LANCE-A_20240627_210000_63.fit.gz,train,190.0,3600.0
78,78,4152,7809,FITfiles/2024-06-27/UMICH_20240627_193000_59.fit,2024-06-27 19:30:00,1,5,10681.7529296875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/27/USA-BOSTON_20240627_233000_63.fit.gz,train,190.0,3600.0
79,79,4153,7808,FITfiles/2024-06-27/UMICH_20240627_194500_59.fit,2024-06-27 19:45:00,1,5,10713.1875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/27/USA-BOSTON_20240627_234500_63.fit.gz,train,190.0,3600.0
80,80,4294,2513,FITfiles/2024-07-01/UMICH_20240701_064500_59.fit,2024-07-01 06:45:00,1,3,10926.1455078125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/07/01/USA-BOSTON_20240701_104500_63.fit.gz,test,190.0,3600.0
81,81,4305,2499,FITfiles/2024-07-01/UMICH_20240701_093000_59.fit,2024-07-01 09:30:00,1,5,10901.455078125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/07/01/MEXICO-LANCE-B_20240701_133000_62.fit.gz,train,190.0,3600.0
82,82,7384,1687,FITfiles/2024-09-19/UMICH_20240919_161500_59.fit,2024-09-19 16:15:00,0,0,10245.01171875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/09/19/MEXICO-LANCE-B_20240919_201500_62.fit.gz,test,190.0,3592.0
83,83,1591,6000,FITfiles/2024-04-29/Beelink1_20240429_064500_59.fit,2024-04-29 06:45:00,0,0,22307.361328125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/29/USA-BOSTON_20240429_104500_63.fit.gz,test,190.0,3600.0
84,84,6137,5788,FITfiles/2024-08-07/Beelink1_20240807_150000_59.fit,2024-08-07 15:00:00,0,0,9944.76953125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/08/07/MEXICO-LANCE-A_20240807_190000_63.fit.gz,train,190.0,3600.0
85,85,5075,7616,FITfiles/2024-07-20/Beelink1_20240720_121459_59.fit,2024-07-20 12:14:59,0,0,10040.0615234375,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/07/20/MEXICO-LANCE-B_20240720_161459_62.fit.gz,train,190.0,3595.0
86,86,8352,1179,FITfiles/2024-10-06/UMICH_20241006_163000_59.fit,2024-10-06 16:30:00,0,0,31046.52734375,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/10/06/ALASKA-HAARP_20241006_203000_63.fit.gz,train,190.0,3600.0
87,87,4894,5915,FITfiles/2024-07-17/Beelink1_20240717_103000_59.fit,2024-07-17 10:30:00,0,0,10076.3310546875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/07/17/MEXICO-LANCE-A_20240717_143000_63.fit.gz,train,190.0,3600.0
88,88,9128,571,FITfiles/2024-11-02/Beelink1_20241102_163000_59.fit,2024-11-02 16:30:00,0,0,36940.20703125,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/11/02/GREENLAND_20241102_203000_63.fit.gz,train,190.0,3600.0
89,89,3810,2249,FITfiles/2024-06-22/UMICH_20240622_063000_59.fit,2024-06-22 06:30:00,0,0,11392.962890625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/22/USA-BOSTON_20240622_103000_63.fit.gz,valid,190.0,3600.0
90,90,7546,207,FITfiles/2024-09-22/UMICH_20240922_130000_59.fit,2024-09-22 13:00:00,0,0,10582.15625,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/09/22/USA-BOSTON_20240922_170000_63.fit.gz,valid,190.0,3525.0
91,91,2947,7242,FITfiles/2024-06-07/UMICH_20240607_081500_59.fit,2024-06-07 08:15:00,0,0,10844.115234375,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/06/07/MEXICO-LANCE-B_20240607_121500_62.fit.gz,train,190.0,3593.0
92,92,1698,6776,FITfiles/2024-04-30/Beelink1_20240430_190000_59.fit,2024-04-30 19:00:00,0,0,22131.029296875,http://soleil80.cs.technik.fhnw.ch/solarradio/data/2002-20yy_Callisto/2024/04/30/USA-BOSTON_20240430_230000_63.fit.gz,train,190.0,3600.0
